feedback_id,processed_text,original_label,timestamp,source
1,stuning even nongamer sound track beautiful paint senery mind well would recomend even people hate vid game music played game chrono cross game ever played best music back away crude keyboarding take fresher step grate guitar soulful orchestra would impress anyone care listen,1,2023-01-01 00:00:00,chat
2,best soundtrack ever anything reading lot review saying best game soundtrack figured write review disagree bit opinino yasunori mitsudas ultimate masterpiece music timeless listening year beauty simply refuse fadethe price tag pretty staggering must say going buy much money one feel would worth every penny,1,2023-01-01 01:00:00,email
3,amazing soundtrack favorite music time hand intense sadness prisoner fate mean youve played game hope distant promise girl stole star important inspiration personally throughout teen year higher energy track like chrono cross time scar time dreamwatch chronomantique indefinably remeniscent chrono trigger absolutely superb wellthis soundtrack amazing music probably best composer work havent heard xenogears soundtrack cant say sure even youve never played game would worth twice price buy iti wish could give star,1,2023-01-01 02:00:00,chat
4,excellent soundtrack truly like soundtrack enjoy video game music played game music enjoy truly relaxing peacefulon disk one favorite scar time life death forest illusion fortress ancient dragon lost fragment drowned valleydisk two draggons galdorb home chronomantique prisoner fate gale girlfriend like zelbessdisk three best three garden god chronopolis fate jellyfish sea burning orphange dragon prayer tower star dragon god radical dreamer unstealable jeweloverall excellent soundtrack brought like video game musicxander cross,1,2023-01-01 03:00:00,chat
5,remember pull jaw floor hearing youve played game know divine music every single song tell story game good greatest song without doubt chrono cross time scar magical dreamer wind star sea radical dreamer unstolen jewel translation varies music perfect ask best yasunori mitsuda poured heart wrote paper,1,2023-01-01 04:00:00,email
6,absolute masterpiece quite sure actually taking time read played game least heard least track whether aware mitsudas music contributed greatly mood every single minute whole gamecomposed cd quite song havent exact count heartrendering impressively remarkable soundtrack one assure forget everything every listener fastpaced energetic dancing tokage termina home slower haunting dragon god purely beautifully composed time scar even fantastic vocal radical dreamersthis one best videogame soundtrack surely mitsudas best ever,1,2023-01-01 05:00:00,social_media
7,buyer beware selfpublished book want know whyread paragraph star review must written haddons family friendsor perhaps cant imagine anyone reading whole thingi spent evening book friend hysteric reading bit piece one another definitely bad enough entered kind worst book contest cant believe amazon even sell kind thing maybe offer grade term paper kill mockingbirda book quite sure haddon never heard anyway unless mood send book someone jokestay far far away one,0,2023-01-01 06:00:00,email
8,glorious story loved whisper wicked saint story amazing pleasantly surprised change book normaly someone romance novel world raving book bought loved brilliant story true book wonderful told friend read typical romance much reading book crime becuase missing heart warming story,1,2023-01-01 07:00:00,social_media
9,five star book finished reading whisper wicked saint fell love caracters expected average romance read instead found one favorite book time thought could predict outcome shocked writting descriptive heart broke julias felt instead distant reader lover romance novel must read dont let cover fool book spectacular,1,2023-01-01 08:00:00,chat
10,whisper wicked saint easy read book made want keep reading easy put downit left wanting read follow hope coming soon used read lot gotten away book made want read enjoyable,1,2023-01-01 09:00:00,chat
11,worst complete waste time typographical error poor grammar totally pathetic plot add absolutely nothing embarrassed author disappointed actually paid book,0,2023-01-01 10:00:00,social_media
12,great book great booki could put downand could read fast enough boy book twist turn keep guessing wanting know going happen next book make fall love heat upit also make angery book make throu several emotion quick read romance something want end day read night,1,2023-01-01 11:00:00,social_media
